ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
-20.0;765;ย 2์/๑;-22.0;765.0;ย 2์/๑
-20.0;764;-;-24.0;764.0;-
-20.0;762;ว 2์/๑;-20.0;761.0;ว 2์/๑
-9.0;756;Þว 3์/๑;-7.0;754.0;Þว 3์/๑
-6.0;751;Þว 2์/๑;-4.0;752.0;Þว 2์/๑
-1.0;753;ว 1์/๑;-2.0;754.0;ว 1์/๑
-1.0;759;-;-2.0;762.0;-
-4.0;765;Þ 3์/๑;-4.0;765.0;Þ 3์/๑
-8.0;765;Þ 1์/๑;-10.0;765.0;Þ 1์/๑
-9.0;765;-;-12.0;765.0;-
-9.0;762;Þ 3์/๑;-14.0;762.0;Þ 3์/๑
-15.0;759;ย 2์/๑;-17.0;759.0;ย 2์/๑
-13.0;753;ย 4์/๑;-11.0;751.0;ย 4์/๑
-9.0;751;Þ 3์/๑;-9.0;751.0;Þ 3์/๑
-11.0;750;ย 3์/๑;-10.0;751.0;ย 3์/๑
-8.0;753;ย 1์/๑;-10.0;751.0;ย 1์/๑
-4.0;742;Þ 2์/๑;-3.0;741.0;Þ 2์/๑
-1.0;735;ย 2์/๑;-2.0;735.0;ย 2์/๑
-1.0;741;Þย 3์/๑;-3.0;744.0;Þย 3์/๑
-4.0;749;Þ 1์/๑;-5.0;750.0;Þ 1์/๑
-6.0;753;ั 1์/๑;-5.0;753.0;ั 1์/๑
-7.0;753;ย 1์/๑;-11.0;753.0;ย 1์/๑
-11.0;753;Þย 1์/๑;-14.0;753.0;Þย 1์/๑
-12.0;756;ย 1์/๑;-11.0;758.0;ย 1์/๑
-6.0;756;ย 1์/๑;-5.0;754.0;ย 1์/๑
-3.0;756;ว 4์/๑;-2.0;754.0;ว 4์/๑
-1.0;759;ว 1์/๑;-9.0;760.0;ว 1์/๑
-6.0;760;ว 2์/๑;-9.0;761.0;ว 2์/๑
-8.0;765;-;-6.0;767.0;-
-10.0;773;ย 2์/๑;-15.0;773.0;ย 2์/๑
-14.0;774;Þว 3์/๑;-18.0;772.0;Þว 3์/๑
-12.0;762;Þว 3์/๑;-11.0;762.0;Þว 3์/๑
-3.0;760;Þว 1์/๑;-3.0;762.0;Þว 1์/๑
-5.0;763;Þว 1์/๑;-7.0;763.0;Þว 1์/๑
-4.0;758;Þว 4์/๑;-6.0;755.0;Þว 4์/๑
-6.0;746;Þว 4์/๑;-9.0;744.0;Þว 4์/๑
-13.0;744;ย 2์/๑;-13.0;741.0;ย 2์/๑
-10.0;741;Þว 2์/๑;-17.0;744.0;Þว 2์/๑
-11.0;750;ว 2์/๑;-16.0;753.0;ว 2์/๑
-14.0;751;Þว 3์/๑;-15.0;750.0;Þว 3์/๑
-13.0;746;Þย 2์/๑;-14.0;744.0;Þย 2์/๑
-8.0;735;ัว 2์/๑;-13.0;735.0;ัว 2์/๑
-8.0;740;ัว 4์/๑;-10.0;744.0;ัว 4์/๑
-7.0;750;ว 3์/๑;-8.0;746.0;ว 3์/๑
1.0;734;Þว 4์/๑;1.0;732.0;Þว 4์/๑
3.0;739;Þว 3์/๑;1.0;741.0;Þว 3์/๑
0.0;741;Þว 4์/๑;1.0;738.0;Þว 4์/๑
0.0;728;Þว 3์/๑;1.0;735.0;Þว 3์/๑
2.0;744;ว 3์/๑;0.0;745.0;ว 3์/๑
2.0;741;Þว 3์/๑;1.0;740.0;Þว 3์/๑
2.0;738;Þว 3์/๑;1.0;740.0;Þว 3์/๑
3.0;743;Þ 3์/๑;2.0;742.0;Þ 3์/๑
2.0;738;ย 3์/๑;3.0;737.0;ย 3์/๑
2.0;736;Þ 2์/๑;1.0;738.0;Þ 2์/๑
1.0;735;ย 1์/๑;0.0;735.0;ย 1์/๑
1.0;744;ว 3์/๑;-1.0;748.0;ว 3์/๑
1.0;750;Þว 5์/๑;-1.0;751.0;Þว 5์/๑
2.0;747;Þว 4์/๑;0.0;744.0;Þว 4์/๑
2.0;742;ว 2์/๑;0.0;746.0;ว 2์/๑
1.0;753;ั 2์/๑;-3.0;754.0;ั 2์/๑
-2.0;752;ัย 3์/๑;-4.0;752.0;ัย 3์/๑
