ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2022.01.01;-4.0;743;Þ 1์/๑;-3.0;740.0;Þ 1์/๑
2022.01.02;-3.0;734;ว 2์/๑;-8.0;739.0;ว 2์/๑
2022.01.03;-11.0;740;ว 2์/๑;-16.0;740.0;ว 2์/๑
2022.01.04;-15.0;741;ย 2์/๑;-14.0;743.0;ย 2์/๑
2022.01.05;-16.0;749;ว 1์/๑;-19.0;748.0;ว 1์/๑
2022.01.06;-7.0;741;ย 2์/๑;0.0;737.0;ย 2์/๑
2022.01.07;0.0;739;Þว 2์/๑;0.0;740.0;Þว 2์/๑
2022.01.08;-8.0;753;ว 2์/๑;-11.0;758.0;ว 2์/๑
2022.01.09;-11.0;762;ย 2์/๑;-15.0;761.0;ย 2์/๑
2022.01.10;-12.0;755;ย 2์/๑;-12.0;754.0;ย 2์/๑
2022.01.11;-8.0;752;ย 1์/๑;-8.0;753.0;ย 1์/๑
2022.01.12;-7.0;755;ย 2์/๑;-8.0;755.0;ย 2์/๑
2022.01.13;-9.0;749;ย 3์/๑;-8.0;744.0;ย 3์/๑
2022.01.14;-15.0;728;Þ 2์/๑;-10.0;722.0;Þ 2์/๑
2022.01.15;-10.0;719;ัว 3์/๑;-13.0;726.0;ัว 3์/๑
2022.01.16;-6.0;736;ว 2์/๑;-6.0;740.0;ว 2์/๑
2022.01.17;-6.0;743;Þว 2์/๑;-7.0;742.0;Þว 2์/๑
2022.01.18;-2.0;744;Þ 2์/๑;-2.0;747.0;Þ 2์/๑
2022.01.19;-5.0;749;Þย 2์/๑;-6.0;751.0;Þย 2์/๑
2022.01.20;-9.0;752;ย 1์/๑;-11.0;752.0;ย 1์/๑
2022.01.21;-11.0;752;ย 1์/๑;-13.0;753.0;ย 1์/๑
2022.01.22;-7.0;754;ย 3์/๑;-7.0;755.0;ย 3์/๑
2022.01.23;-10.0;761;ย 3์/๑;-10.0;761.0;ย 3์/๑
2022.01.24;-11.0;763;ย 2์/๑;-13.0;763.0;ย 2์/๑
2022.01.25;-14.0;758;ย 2์/๑;-16.0;755.0;ย 2์/๑
2022.01.26;-11.0;750;Þว 1์/๑;-12.0;751.0;Þว 1์/๑
2022.01.27;-8.0;753;-;-7.0;753.0;-
2022.01.28;-7.0;751;ย 2์/๑;-8.0;749.0;ย 2์/๑
2022.01.29;-12.0;747;ย 1์/๑;-13.0;746.0;ย 1์/๑
2022.01.30;-2.0;740;ย 1์/๑;-4.0;742.0;ย 1์/๑
2022.01.31;-3.0;745;ย 3์/๑;-2.0;745.0;ย 3์/๑
2022.02.01;0.0;744;Þ 2์/๑;-2.0;745.0;Þ 2์/๑
2022.02.02;-2.0;750;Þ 1์/๑;0.0;750.0;Þ 1์/๑
2022.02.03;0.0;748;Þ 2์/๑;0.0;747.0;Þ 2์/๑
2022.02.04;-2.0;742;ย 2์/๑;-4.0;741.0;ย 2์/๑
2022.02.05;-4.0;741;-;-4.0;742.0;-
2022.02.06;-3.0;743;ว 1์/๑;-4.0;744.0;ว 1์/๑
2022.02.07;-5.0;747;ว 1์/๑;-7.0;749.0;ว 1์/๑
2022.02.08;-5.0;751;Þ 1์/๑;-5.0;751.0;Þ 1์/๑
2022.02.09;-2.0;751;Þย 2์/๑;-4.0;752.0;Þย 2์/๑
2022.02.10;-6.0;746;ย 3์/๑;-6.0;745.0;ย 3์/๑
2022.02.11;-1.0;746;ว 2์/๑;-1.0;746.0;ว 2์/๑
2022.02.12;1.0;748;ว 1์/๑;-4.0;749.0;ว 1์/๑
2022.02.13;-4.0;749;Þว 3์/๑;-4.0;750.0;Þว 3์/๑
2022.02.14;-2.0;755;Þ 1์/๑;-6.0;753.0;Þ 1์/๑
2022.02.15;-4.0;754;Þว 2์/๑;-8.0;755.0;Þว 2์/๑
2022.02.16;-7.0;757;ว 1์/๑;-12.0;757.0;ว 1์/๑
2022.02.17;-11.0;753;ย 2์/๑;-12.0;752.0;ย 2์/๑
2022.02.18;-5.0;749;ย 3์/๑;-7.0;749.0;ย 3์/๑
2022.02.19;-5.0;749;Þย 2์/๑;-4.0;748.0;Þย 2์/๑
2022.02.20;1.0;740;Þว 3์/๑;1.0;740.0;Þว 3์/๑
2022.02.21;1.0;744;ว 2์/๑;-2.0;746.0;ว 2์/๑
2022.02.22;0.0;747;Þ 1์/๑;2.0;747.0;Þ 1์/๑
2022.02.23;1.0;746;Þว 3์/๑;0.0;747.0;Þว 3์/๑
2022.02.24;1.0;755;Þว 1์/๑;0.0;756.0;Þว 1์/๑
2022.02.25;-2.0;760;ย 2์/๑;-5.0;759.0;ย 2์/๑
2022.02.26;-1.0;755;ย 2์/๑;0.0;755.0;ย 2์/๑
2022.02.27;1.0;755;ย 3์/๑;0.0;758.0;ย 3์/๑
2022.02.28;2.0;758;ย 2์/๑;-1.0;758.0;ย 2์/๑
2022.03.01;1.0;758;ัว 1์/๑;-6.0;758.0;ัว 1์/๑
2022.03.02;-5.0;758;ย 1์/๑;-5.0;755.0;ย 1์/๑
2022.03.03;-5.0;750;ย 1์/๑;-6.0;749.0;ย 1์/๑
2022.03.04;-2.0;742;ัย 2์/๑;-2.0;740.0;ัย 2์/๑
2022.03.05;-2.0;730;ัย 3์/๑;-4.0;732.0;ัย 3์/๑
2022.03.06;-9.0;740;ัว 3์/๑;-10.0;743.0;ัว 3์/๑
2022.03.07;-3.0;744;-;-9.0;747.0;-
2022.03.08;-7.0;749;ย 2์/๑;-8.0;750.0;ย 2์/๑
2022.03.09;-7.0;752;ัย 2์/๑;-8.0;753.0;ัย 2์/๑
2022.03.10;-6.0;756;ัย 2์/๑;-10.0;758.0;ัย 2์/๑
2022.03.11;-7.0;755;ัย 3์/๑;-10.0;755.0;ัย 3์/๑
2022.03.12;-7.0;754;ัย 2์/๑;-10.0;755.0;ัย 2์/๑
2022.03.13;-5.0;755;ว 1์/๑;-9.0;754.0;ว 1์/๑
2022.03.14;-8.0;752;ย 1์/๑;-10.0;752.0;ย 1์/๑
2022.03.15;-6.0;756;ย 4์/๑;-9.0;758.0;ย 4์/๑
2022.03.16;-8.0;760;ย 4์/๑;-8.0;761.0;ย 4์/๑
2022.03.17;-3.0;764;ั 2์/๑;-6.0;764.0;ั 2์/๑
2022.03.18;0.0;766;ัย 2์/๑;-9.0;767.0;ัย 2์/๑
2022.03.19;2.0;766;ว 1์/๑;-2.0;764.0;ว 1์/๑
2022.03.20;5.0;755;ว 1์/๑;3.0;753.0;ว 1์/๑
2022.03.21;0.0;749;ั 2์/๑;-1.0;755.0;ั 2์/๑
2022.03.22;5.0;758;ัว 2์/๑;-1.0;757.0;ัว 2์/๑
2022.03.23;7.0;755;ว 2์/๑;1.0;755.0;ว 2์/๑
2022.03.24;6.0;752;ว 2์/๑;0.0;752.0;ว 2์/๑
2022.03.25;7.0;751;ว 1์/๑;3.0;751.0;ว 1์/๑
2022.03.26;5.0;743;Þ 2์/๑;-2.0;740.0;Þ 2์/๑
2022.03.27;1.0;732;Þว 2์/๑;0.0;734.0;Þว 2์/๑
2022.03.28;-3.0;742;ัว 2์/๑;-4.0;743.0;ัว 2์/๑
2022.03.29;5.0;737;ว 4์/๑;2.0;741.0;ว 4์/๑
2022.03.30;4.0;743;Þว 2์/๑;3.0;747.0;Þว 2์/๑
2022.03.31;1.0;749;ย 1์/๑;1.0;749.0;ย 1์/๑
2022.04.01;7.0;748;Þว 1์/๑;4.0;746.0;Þว 1์/๑
2022.04.02;9.0;743;Þ 1์/๑;5.0;743.0;Þ 1์/๑
2022.04.03;11.0;737;Þว 3์/๑;8.0;737.0;Þว 3์/๑
2022.04.04;5.0;735;Þว 4์/๑;2.0;739.0;Þว 4์/๑
2022.04.05;4.0;747;Þว 3์/๑;2.0;749.0;Þว 3์/๑
